Index,Artist,Title,Mood
ML728,Sam Cooke,Trouble Blues,angry
ML319,Ferry Corsten,Fire,angry
ML1971,Phyllis Hyman,"Loving You, Losing You",angry
ML388,Marilyn Manson,The Fight Song,angry
ML1908,Lindsey Buckingham,Go Insane,angry
ML1763,Wilco,War On War,angry
ML768,Ian Dury & The Blockheads,Hit Me With Your Rhythm Stick,angry
ML76,Alice Cooper,Welcome To My Nightmare,angry
ML1130,Son Volt,Drown,angry
ML167,Killswitch Engage,This Fire Burns,angry
ML1981,Tricky,Murder Weapon,angry
ML1972,Neko Case,Lady Pilot,angry
ML1784,Austra,Spellwork,angry
ML976,"Does It Offend You, Yeah?",The Monkeys Are Coming,angry
ML1343,Discovery,So Insane,angry
ML870,Arthur Brown,Fire,angry
ML1996,David Bowie,I'm Afraid Of Americans,angry
ML1701,Rush,Cold Fire,angry
ML1591,Walls Of Jericho,A Trigger Full Of Promises,angry
ML1867,Bloodsimple,Falling Backwards,angry
ML957,Underoath,A Boy Brushed Red Living In Black And White,angry
ML8,Austra,Spellwork,angry
ML1622,Fenech-Soler,Contender,angry
ML1828,Beres Hammond,Try If You Want,angry
ML1451,Dan Deacon,Okie Dokie,angry
ML175,Reel Big Fish,The Fire,angry
ML211,Hail The Villain,Take Back The Fear,angry
ML826,KMFDM,WWIII,angry
ML407,Marty Stuart,Burn Me Down,angry
ML1737,The Red Hot Chili Peppers,Fight Like A Brave,angry
ML272,Josh Wilson,Before The Morning,angry
ML639,Sevendust,Bitch,angry
ML1539,Papa Roach,Burn,angry
ML173,Social Distortion,Ring Of Fire,angry
ML894,Sick Puppies,War,angry
ML380,The Cult,Fire Woman,angry
ML1742,Pantera,Floods,angry
ML42,Ra,Do You Call My Name,angry
ML1912,Editors,No Sound But The Wind,angry
ML342,Evanescence,My Immortal,angry
ML1215,Steel Pulse,Blazing Fire ,angry
ML1973,Jonathan Richman,I Was The One She Came For,angry
ML1767,Cavalera Conspiracy,Blunt Force Trauma,angry
ML1946,Fear Factory,Replica,angry
ML1864,Panda Bear,Search For Delicious,angry
ML1614,Rotten Sound,Scared,angry
ML704,Papa Roach,Burn,angry
ML534,Micah Stampley,War Cry,angry
ML677,Dinosaur Jr.,Feel The Pain,angry
ML126,Gino Vannelli,Living Inside Myself,angry
ML1165,The Beatles,I Want You ,angry
ML471,Portugal. The Man,People Say,angry
ML365,Johnny Cash,Ring Of Fire,angry
ML318,Ministry,Everyday Is Halloween,angry
ML1080,The Radio Dept.,Heaven's On Fire,angry
ML741,War,Outlaw,angry
ML1205,Chelley,Took The Night,angry
ML474,Sufjan Stevens,Vesuvius,angry
ML1411,Nnenna Freelon,If I Only Had A Brain ,angry
ML616,Carly Simon,Haven't Got Time For The Pain,angry
ML1984,High On Fire,Holy Flames Of The Fire Spitter,angry
ML845,Trivium,Shattering The Skies Above,angry
ML1223,Dokken,Into The Fire,angry
ML81,Eric Clapton,Cocaine,angry
ML1526,Iron Maiden,Be Quick Or Be Dead,angry
